aar;video_url;kommune;tittel;tema;hva_er_spesielt;folelse;antrekk;type_bygg_og_industri;type_historisk;type_natur_og_idrett;type_kunst_og_haandverk;type_idrett_og_fysisk_aktivitet;tema_samlere_entusiaster_og_oppfinnere;tema_vitenskap;relasjoner;type_musikere;type_mat;type_dyr;antall_menn;antall_kvinner;tema_natur_og_friluftsliv;tema_kjop_og_salg;type_landbruk_og_fiske;offentlige_tjenester_og_veldedighet;hovedperson1_kjonn;hovedperson2_kjonn;hovedperson3_kjonn;hovedperson1_alder;hovedperson2_alder;hovedperson3_alder;tema_politikk_og_media
2005;https://tv.nrk.no/serie/norge-rundt/PRHO04002405/17-06-2005#t=9m6s;Nesodden;Nesodden: Sommerøya;Ukategoriserbart;;;Caps;;;;;;;;;;;;3;3;;;;;Kvinne;;;50 til 60;;;
2005;https://tv.nrk.no/serie/norge-rundt/PRHO04002405/17-06-2005#t=15m21s;Andøy;Andøya: Elevkokebok;Offentlige tjenester og veldedighet;Alder;;Caps, Hatt;;;;;;;;;;;;5;5;;;;Skole og barnehage;Kvinne;Mann;Kvinne;10 til 15;10 til 15;70 til 80;
2005;https://tv.nrk.no/serie/norge-rundt/PRHO04002405/17-06-2005#t=19m33s;Fredrikstad;Fredrikstad: Kajakkpadling;Idrett og fysisk aktivitet;;;Caps, Hjelm;;;;;Padling;;;;;;;4;5;;;;;Mann;;;40 til 50;;;
2005;https://tv.nrk.no/serie/norge-rundt/PRHO04003105/05-08-2005#t=27s;Lillehammer;Lillehammer: OL-museet (Mellomstikk);Historisk;;;Slips;;Museum;;;;;;;;;;8;4;;;;;Mann;Mann;Mann;50 til 60;70 til 80;70 til 80;
2005;https://tv.nrk.no/serie/norge-rundt/PRHO04003105/05-08-2005#t=2m40s;Halden;Kornsjø: Diorama;Samlere entusiaster og oppfinnere;Miniatyr;;;;;;;;50-tall, Biler;;;;;;1;;;;;;Mann;;;;;;
2005;https://tv.nrk.no/serie/norge-rundt/PRHO04003105/05-08-2005#t=9m35s;Utlandet;Sardinia, Italia: Gamle ferger;Samlere entusiaster og oppfinnere;;;;;;;;;Båter;;;;;;3;;;;;;Mann;Mann;;40 til 50;40 til 50;;
2005;https://tv.nrk.no/serie/norge-rundt/PRHO04003105/05-08-2005#t=15m59s;Steinkjer;Steinkjer: Dukkemaker;Kunst og Håndverk;;;;;;;Dukkemaker;;;;;;;;;1;;;;;Kvinne;;;60 til 70;;;
2005;https://tv.nrk.no/serie/norge-rundt/PRHO04003105/05-08-2005#t=21m4s;Oslokommune;Oslo: Postbud;Ukategoriserbart;;Elsker;Caps, Uniform;;;;;;;;Familie;;;;20;5;;;;;Mann;Mann;;60 til 70;60 til 70;;
2005;https://tv.nrk.no/serie/norge-rundt/PRHO04003305/19-08-2005#t=27s;Bergen;Bergen: Fotoarkivet i Bergen Museum (Mellomstikk);Historisk;;;;;Fotografi, Museum;;;;;;;;;;;1;;;;;Kvinne;;;40 til 50;;;
2005;https://tv.nrk.no/serie/norge-rundt/PRHO04003305/19-08-2005#t=3m5s;Bergen;Bergen: Bluesgutt;Musikk;Alder;Wow;Hatt;;;;;;;;;Gitar;;;20;7;;;;;Mann;;;10 til 15;;;
2005;https://tv.nrk.no/serie/norge-rundt/PRHO04003305/19-08-2005#t=7m13s;Vikna;Rørvik / Nærøya: Øyværing;Ukategoriserbart;;;Caps, Hatt;;;;;;;;;;;;6;2;;;;;Mann;Mann;Mann;40 til 50;50 til 60;60 til 70;
2005;https://tv.nrk.no/serie/norge-rundt/PRHO04003305/19-08-2005#t=11m42s;Hjartdal;Sauland: Vevtepper;Kunst og Håndverk;Hjemmelaget;;;;;;Veving;;;;;;;;1;2;;;;;Kvinne;;;80 til 90;;;
2005;https://tv.nrk.no/serie/norge-rundt/PRHO04003305/19-08-2005#t=16m17s;Os (Hord.);Os i Hordaland: Sjokolade;Bygg og industri;Hjemmelaget;;;Sjokoladefabrikk;;;;;;;;;;;1;;;;;;Mann;;;40 til 50;;;
2005;https://tv.nrk.no/serie/norge-rundt/PRHO04003305/19-08-2005#t=20m;Rindal;Rindal: Rideku;Dyr;Spesielle kombinasjoner;Wow, Ler;Hjelm, Kjeledress;;;;;;;;;;;Ku;;1;;;;;Kvinne;;;10 til 15;;;
